"Gene" "Correlation" "P.Value" "Samples" "Ymin" "Ymax"
"1" "UBE2Q1" -0.120217908812336 0.373061304187861 57 -0.369219792522755 0.144888360744573
"2" "RNF14" 0.334182023883106 0.0110654459614516 57 0.0806359021661641 0.547109050761734
"3" "UBE2Q2" -0.197418963917104 0.141023633689401 57 -0.435579953285944 0.0665732887389
"4" "RNF10" -0.0692277799305989 0.60886547924456 57 -0.323951824669508 0.194854768099666
"5" "RNF13" -0.160959323415674 0.231653074893732 57 -0.404559435915033 0.103968869828383
"6" "C16orf13" -0.00393720020061364 0.97681134909074 57 -0.264233777238166 0.256894005492126
"7" "CHMP1B" -0.194726244591012 0.146636269963341 57 -0.433308123536226 0.0693607309132521
"8" "PMM2" 0.108163005854817 0.423204210933559 57 -0.156824559502582 0.358623301610239
"9" "PMM1" 0.142514779090647 0.290267466917058 57 -0.122605812446614 0.388650017304538
"10" "FHIT" 0.248696881461919 0.0621184895545892 57 -0.012693332833744 0.478271419398897
"11" "ZNF701" 0.084878162079747 0.530165463016495 57 -0.179663011927089 0.337971079748398
"12" "ZNF707" -0.0743843926969645 0.582380545304684 57 -0.328583390909729 0.189863224326715
"13" "CAMK4" -0.150508728467342 0.263771378816416 57 -0.395563299364746 0.114551369877848
"14" "ZC3H10" 0.0625850658629627 0.643728160453193 57 -0.201264744249375 0.317967422678494
"15" "ZC3H15" 0.0238540404849919 0.860192483809457 57 -0.23819413325355 0.282664768103613
"16" "ZC3H14" 0.0284560184993314 0.83357318124202 57 -0.233845536547992 0.286896418771796
"17" "RNF111" -0.256556743070572 0.0540510021790639 57 -0.484720636187515 0.00429825315266549
"18" "ZC3H18" -0.223661745297981 0.0944336840311562 57 -0.457563075470544 0.0391898573851193
"19" "DHX8" 0.268646144161939 0.043320079789074 57 0.00868655069359985 0.494592107560042
"20" "DHX9" 0.380163163017668 0.00353457492068654 57 0.132744989666397 0.582981688425909
"21" "TCOF1" 0.0284812938278706 0.833427463309552 57 -0.233821623847095 0.286919632344728
"22" "XPC" -0.0995618874254857 0.461209662514 57 -0.351023089460778 0.165293924329824
"23" "SP1" 0.0608301758540507 0.653071190406504 57 -0.202954383839817 0.316383041894154
"24" "GRINA" 0.139492233783866 0.300724232805462 57 -0.125642158746656 0.38602883651412
"25" "SP4" -0.00475259910063847 0.972010703266832 57 -0.264992096208927 0.256132244638423
"26" "OPA3" 0.00442592567788273 0.973933878053064 57 -0.256437467948962 0.264688329373396
"27" "OPA1" 0.20931900049846 0.118128121665964 57 -0.0542050973118053 0.445583735070273
"28" "RAB40C" -0.283904358165181 0.0323389195293497 57 -0.506968373441004 -0.0252009766787441
"29" "RAB40B" -0.013506251417022 0.92057030697617 57 -0.273112744172429 0.247933956969929
"30" "CBX1" -0.0662596455485596 0.624342473713339 57 -0.321280357768317 0.197721699759933
"31" "COL7A1" -0.121714946055111 0.367094684902237 57 -0.370531213026006 0.143400659052264
"32" "GTSE1" -0.00119705257469733 0.992948927549477 57 -0.261683086496876 0.259451530104981
"33" "B2M" -0.134204912116731 0.319595767480605 57 -0.381434026725442 0.13094170484376
"34" "SPPL2A" -0.024330915959269 0.857426370103266 57 -0.283103737129686 0.237744001616275
"35" "SPPL2B" -0.0185949904649032 0.890801062882625 57 -0.277816555270313 0.243150792991785
"36" "NSL1" 0.120397664415298 0.372341797907236 57 -0.144709789401281 0.369377312742919
