PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
1_BACT,0.129869,0.329730,0.111026,0.332334,0.240895,0.047331,0.539109,1.371117,8.850,8.765,0.170,1,0.3403,53
2_ATF5.25-50,0.000000,0.644020,0.376468,0.640235,0.376469,0.079730,0.000001,1.710688,-2.976,-2.969,0.000,1,0.5,45
3_ATF5.50-75,0.872491,2.022268,0.000001,2.048170,0.872491,0.187713,0.999999,2.347496,-21.476,-21.792,0.633,1,0.2131,44
4_ENO1,0.256219,0.813953,0.000000,0.827386,0.256219,0.050303,0.999999,3.229209,4.766,4.549,0.432,1,0.2554,53
5_FOXO3A.<25,0.910272,2.488745,0.000001,2.510722,0.910273,0.187568,0.999999,2.758209,-24.043,-24.237,0.388,1,0.2667,48
6_FOXO3A.25-50,1.041807,1.760298,0.000001,1.739941,1.041808,0.245583,0.999999,1.670118,-20.684,-20.701,0.035,1,0.4259,37
7_FOXO3A.50-75,0.000001,1.595921,0.559154,1.617278,0.559154,0.111651,0.000001,2.854168,-12.584,-12.582,0.000,1,0.5,53
8_HOXD1,0.000001,1.297698,0.896967,1.305673,0.896968,0.177390,0.000001,1.446760,-24.785,-24.785,0.000,1,0.5,52
9_KLF3,0.562576,1.925765,0.000001,1.962044,0.562577,0.111468,0.999999,3.487602,-16.579,-16.720,0.281,1,0.2982,52
10_TBX19,0.000000,0.546462,0.304846,0.553225,0.304847,0.060036,0.000001,1.792580,3.032,3.032,0.000,1,0.5,53
11_TUBA,0.000000,1.497526,0.268531,1.518121,0.268531,0.063179,0.000001,5.576730,5.138,5.145,0.000,1,0.5,42
12_ZNF266.50-75,0.403514,2.038947,0.000000,2.062260,0.403514,0.079277,0.999999,5.110749,-7.314,-7.297,0.000,1,0.5,53
13_ZNF266.75-100,0.000000,0.941732,0.388046,0.955373,0.388046,0.077126,0.000001,2.426856,-3.170,-3.169,0.000,1,0.5,53
14_ZSCAN23,0.572637,1.752086,0.000001,1.783709,0.572638,0.112426,0.999999,3.114898,-16.429,-16.692,0.524,1,0.2345,53
15_BNC2.100-200kDa,0.793192,1.678611,0.000001,1.731302,0.793193,0.160083,0.999999,2.182699,-24.940,-25.529,1.179,1,0.1388,50
16_BNC2.70kDa,0.000001,6.717784,1.209386,6.769550,1.209387,0.257241,0.000001,5.554703,-29.376,-29.348,0.000,1,0.5,49
17_CECR6,0.136159,0.432790,0.219063,0.438796,0.355221,0.069824,0.383306,1.221141,-1.208,-1.277,0.139,1,0.3547,53
18_FOXF2,0.592979,1.223923,0.000001,1.225633,0.592980,0.116310,0.999999,2.066904,-14.722,-14.803,0.162,1,0.3438,53
19_HLXB9.50kDa,0.386192,0.932188,0.309348,0.938293,0.695540,0.140709,0.555241,1.341356,-17.721,-17.853,0.263,1,0.304,50
20_HLXB9.60kDa,0.507789,0.537959,0.000001,0.529827,0.507789,0.099587,0.999999,1.043401,-10.600,-11.105,1.011,1,0.1573,53
21_INSM1,0.000000,0.477988,0.335879,0.478423,0.335879,0.065637,0.000001,1.423097,0.094,0.096,0.000,1,0.5,53
22_MED12.50kDa,0.084010,0.626825,0.255922,0.636557,0.339932,0.067141,0.247138,1.849124,-0.022,-0.030,0.014,1,0.4525,53
23_MED12.70kDa,0.176381,0.610622,0.150962,0.615690,0.327343,0.065043,0.538826,1.871128,0.831,0.810,0.042,1,0.4185,52
24_SIM2.55kDa,0.807292,1.186994,0.000001,1.181221,0.807293,0.158331,0.999999,1.463188,-22.672,-22.849,0.354,1,0.276,53
25_SIM2.70kDa,0.000000,1.600397,0.506014,1.620167,0.506014,0.103236,0.000001,3.162752,-9.596,-9.593,0.000,1,0.5,51
26_SOX13,0.456117,0.796456,0.157898,0.796390,0.614015,0.120498,0.742844,1.294209,-15.515,-15.681,0.333,1,0.2819,53
27_SP100.50kDa,0.797498,1.489264,0.000001,1.512853,0.797499,0.157959,0.999999,1.896997,-22.987,-23.486,0.998,1,0.1589,52
28_SP100.90kDa,0.000001,2.499392,1.035023,2.544317,1.035024,0.216790,0.000001,2.414816,-26.182,-26.182,0.000,1,0.5,48
29_TADA2L,0.594554,2.732604,0.000001,2.760422,0.594554,0.116759,0.999999,4.642843,-16.480,-16.517,0.074,1,0.3928,53
30_TFAP2B,0.000001,1.534146,1.215034,1.570549,1.215036,0.279242,0.000001,1.262634,-24.497,-24.497,0.000,1,0.5,39
31_ZFP161,0.000000,0.943661,0.397614,0.950225,0.397615,0.078295,0.000001,2.373305,-3.842,-3.841,0.000,1,0.5,53
32_PRKCBP1,0.000000,0.413812,0.323487,0.408846,0.323488,0.062938,0.000001,1.279219,0.295,0.316,0.000,1,0.5,53
33_ZNF200,0.000000,1.000044,0.418899,1.010740,0.418899,0.082849,0.000001,2.387313,-5.125,-5.124,0.000,1,0.5,53
34_ZNF703,0.317249,0.417837,0.000000,0.432443,0.317249,0.062246,0.999999,1.363102,-0.962,-2.320,2.716,1,0.04968,53
35_TNRC5,0.000001,1.526939,0.524744,1.540358,0.524744,0.105036,0.000001,2.909872,-10.709,-10.707,0.000,1,0.5,52
