PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
ENSG00000000419,0.008169,0.008417,0.010302,0.007727,0.018471,0.004165,0.442271,0.425057,59.870,59.496,0.748,1,0.1936,42
ENSG00000000457,0.020810,0.032932,0.000000,0.033153,0.020810,0.009205,0.999999,1.593152,12.938,12.407,1.064,1,0.1512,11
ENSG00000000938,0.000000,0.107785,0.193084,0.108697,0.193084,0.043626,0.000001,0.558229,9.971,9.985,0.000,1,0.5,40
ENSG00000001084,0.000000,0.027825,0.021577,0.025461,0.021577,0.009134,0.000001,1.289561,13.135,13.253,0.000,1,0.5,12
ENSG00000001167,0.000000,0.076988,0.081610,0.078296,0.081610,0.020693,0.000001,0.943365,21.475,21.475,0.000,1,0.5,32
ENSG00000001497,0.001254,0.005588,0.010981,0.006015,0.012236,0.002737,0.102510,0.455395,66.219,66.194,0.049,1,0.4127,41
ENSG00000001561,0.045583,0.031703,0.018760,0.026140,0.064343,0.016103,0.708432,0.418056,28.562,27.650,1.824,1,0.08842,35
ENSG00000001630,0.000000,0.032766,0.059703,0.034256,0.059703,0.013172,0.000001,0.548825,35.213,35.214,0.000,1,0.5,42
ENSG00000001631,0.000000,1.137772,0.034498,1.174975,0.034498,0.042438,0.000001,32.980999,14.511,15.559,0.000,1,0.5,12
ENSG00000002549,0.024991,0.021359,0.022760,0.018743,0.047751,0.010857,0.523357,0.403856,40.598,40.082,1.033,1,0.1547,42
ENSG00000002822,0.000000,0.004666,0.012982,0.005388,0.012982,0.002866,0.000001,0.359438,66.648,66.648,0.000,1,0.5,42
ENSG00000002919,0.000000,0.022530,0.044998,0.024109,0.044998,0.010898,0.000001,0.500688,33.747,33.748,0.000,1,0.5,35
ENSG00000003056,0.000000,0.010125,0.023062,0.011241,0.023062,0.005092,0.000001,0.439030,54.891,54.891,0.000,1,0.5,42
ENSG00000003509,0.015569,0.035777,0.000000,0.036170,0.015569,0.005289,0.999999,2.323196,23.131,22.816,0.630,1,0.2137,17
ENSG00000003756,0.032181,0.036950,0.000000,0.035596,0.032181,0.008946,0.999999,1.106112,30.027,29.875,0.303,1,0.291,27
ENSG00000004059,0.000000,0.006176,0.012161,0.006744,0.012161,0.002686,0.000001,0.507826,68.027,68.027,0.000,1,0.5,42
ENSG00000004455,0.002553,0.010066,0.018106,0.010633,0.020660,0.004567,0.123592,0.485280,57.174,57.148,0.052,1,0.4098,42
ENSG00000004478,0.000000,0.016740,0.035423,0.016935,0.035423,0.007806,0.000001,0.472568,45.084,45.109,0.000,1,0.5,42
ENSG00000004487,0.003510,0.006403,0.013238,0.006806,0.016748,0.003851,0.209572,0.376022,56.933,56.732,0.402,1,0.2631,39
ENSG00000004534,0.000000,0.009386,0.019792,0.010244,0.019792,0.004600,0.000001,0.474243,52.186,52.186,0.000,1,0.5,38
ENSG00000004700,0.000000,0.004782,0.011140,0.004944,0.011140,0.002456,0.000001,0.429222,68.980,68.997,0.000,1,0.5,42
ENSG00000004766,0.033544,0.027886,0.000000,0.023831,0.033544,0.009973,0.999999,0.710430,27.499,27.500,0.000,1,0.5,25
ENSG00000004779,0.100439,0.058927,0.033723,0.044412,0.134163,0.031542,0.748640,0.346593,20.249,19.438,1.622,1,0.1014,42
ENSG00000004864,0.006057,0.014767,0.027657,0.015560,0.033714,0.007551,0.179655,0.433898,45.971,45.877,0.189,1,0.3319,41
ENSG00000004961,0.000000,0.004277,0.007967,0.004545,0.007967,0.001759,0.000001,0.536787,76.624,76.624,0.000,1,0.5,42
ENSG00000004975,0.027091,0.013197,0.001484,0.008956,0.028575,0.007366,0.948080,0.317694,43.192,41.885,2.613,1,0.053,35
ENSG00000005007,0.000000,0.001236,0.003098,0.001265,0.003098,0.000683,0.000001,0.399008,94.784,94.822,0.000,1,0.5,42
ENSG00000005022,0.000000,0.005743,0.011579,0.006071,0.011579,0.002555,0.000001,0.495940,68.820,68.821,0.000,1,0.5,42
ENSG00000005100,0.000000,0.015370,0.020669,0.015441,0.020669,0.006231,0.000001,0.743607,29.680,29.688,0.000,1,0.5,23
ENSG00000005156,0.000000,0.012656,0.026989,0.012473,0.026989,0.005944,0.000001,0.468943,50.004,50.070,0.000,1,0.5,42
ENSG00000005175,0.000000,0.003909,0.008432,0.004041,0.008432,0.001906,0.000001,0.463588,71.115,71.126,0.000,1,0.5,40
ENSG00000005194,0.000000,0.005927,0.013533,0.006563,0.013533,0.002988,0.000001,0.437970,65.807,65.807,0.000,1,0.5,42
ENSG00000005339,0.010045,0.079220,0.000000,0.080035,0.010045,0.004321,0.999999,7.967222,13.946,13.952,0.000,1,0.5,10
ENSG00000005436,0.000000,2.612579,0.147763,2.664773,0.147763,0.090730,0.000001,17.680862,5.387,5.683,0.000,1,0.5,12
ENSG00000005486,0.000000,2.876796,0.103144,2.957028,0.103144,0.098762,0.000000,27.891137,12.530,14.727,0.000,1,0.5,16
ENSG00000005810,0.000000,0.003999,0.010192,0.003511,0.010192,0.002241,0.000001,0.392403,65.115,65.977,0.000,1,0.5,42
ENSG00000005844,0.000000,0.037027,0.078014,0.038876,0.078014,0.017207,0.000001,0.474618,29.557,29.560,0.000,1,0.5,42
ENSG00000005893,0.000000,0.013620,0.032184,0.013923,0.032184,0.007093,0.000001,0.423174,46.969,46.997,0.000,1,0.5,42
ENSG00000006007,0.027168,0.066577,0.027621,0.066970,0.054789,0.016161,0.495862,1.209753,20.212,20.134,0.157,1,0.3461,24
ENSG00000006114,0.000000,0.006198,0.013916,0.006010,0.013916,0.003064,0.000001,0.445389,62.975,63.094,0.000,1,0.5,42
ENSG00000006125,0.004307,0.001860,0.000669,0.001219,0.004977,0.001166,0.865478,0.253582,88.425,85.231,6.387,1,0.005747,42
ENSG00000006451,0.000000,0.008592,0.019025,0.009173,0.019025,0.004198,0.000001,0.451620,58.596,58.597,0.000,1,0.5,42
ENSG00000006453,0.133035,0.277785,0.333947,0.275848,0.466982,0.117453,0.284883,0.582717,-5.478,-5.585,0.213,1,0.3222,33
ENSG00000006530,0.006203,0.006977,0.011163,0.006768,0.017366,0.003873,0.357207,0.382861,60.972,60.523,0.898,1,0.1716,42
